Player,Team,Pos,Breakout Score,MPG Δ,PPG Δ,APG Δ,RPG Δ,SPG Δ,FT% Δ,FG% Δ,3P% Δ
Zach Collins,2TM,PF,-0.3,-6.8,-4.8,-1.1,-0.9,0.0,13.2,2.3,-1.8
Jalen Williams,OKC,SG,-0.3,1.1,2.5,0.6,1.3,0.5,-2.5,-5.6,-6.2
Sam Hauser,BOS,PF,-0.3,-0.3,-0.5,-0.1,-0.3,0.1,10.5,0.5,-0.8
RJ Barrett,TOR,SF,-0.4,0.5,0.9,2.1,0.9,0.3,-8.5,-2.7,-1.0
Donovan Mitchell,CLE,SG,-0.4,-3.9,-2.6,-1.1,-0.6,-0.5,-4.2,-1.9,0.0
Dereck Lively II,DAL,C,-0.4,-0.4,-0.1,1.3,0.6,-0.1,12.4,-4.5,
Moses Moody,GSW,SG,-0.4,4.8,1.7,0.4,-0.4,0.2,1.2,-2.9,1.4
Aaron Wiggins,OKC,SG,-0.4,7.2,5.1,0.7,1.5,0.1,4.2,-7.4,-10.9
Davion Mitchell,2TM,PG,-0.5,12.1,2.6,3.0,1.0,0.8,-2.4,1.6,3.7
Buddy Hield,GSW,SG,-0.5,-3.0,-1.0,-1.2,0.0,0.0,-5.3,-1.9,-1.6
Cameron Payne,NYK,PG,-0.6,-1.6,-0.5,0.2,-0.1,0.0,4.1,-3.1,-2.7
Tyus Jones,PHO,PG,-0.6,-2.5,-1.8,-2.0,-0.3,-0.2,9.5,-4.1,0.0
Haywood Highsmith,MIA,SF,-0.6,3.9,0.4,0.4,0.2,0.1,8.2,-0.7,-1.4
Isaiah Stewart,DET,C,-0.6,-11.0,-4.9,0.1,-1.1,0.0,0.6,7.2,-6.2
Grayson Allen,PHO,SG,-0.6,-9.4,-2.9,-0.9,-0.9,-0.1,-6.2,-5.1,-3.5
Alec Burks,MIA,SG,-0.6,-0.8,-3.1,-0.2,0.2,0.2,-9.2,5.5,4.9
Cole Anthony,ORL,PG,-0.6,-4.0,-2.2,0.0,-0.8,-0.1,-0.3,-1.1,1.5
Luke Kennard,MEM,SG,-0.7,-3.0,-2.1,-0.2,-0.1,0.3,0.6,3.0,-1.7
Rudy Gobert,MIN,C,-0.7,-0.9,-2.0,0.5,-2.0,0.1,3.6,0.8,
Jordan Hawkins,NOP,SG,-0.7,6.3,3.0,0.2,0.6,0.2,-2.2,-1.0,-3.5
Ayo Dosunmu,CHI,SG,-0.7,1.2,0.1,1.3,0.7,0.0,-2.5,-0.9,-7.5
CJ McCollum,NOP,PG,-0.7,0.0,1.1,-0.5,-0.5,-0.1,-11.0,-1.5,-5.6
Jabari Smith Jr.,HOU,PF,-0.7,-1.8,-1.5,-0.5,-1.1,-0.3,1.4,-1.6,-0.9
Bradley Beal,PHO,SG,-0.7,-1.2,-1.2,-1.3,-1.1,0.1,-1.0,-1.6,-4.4
Terance Mann,2TM,SG,-0.7,-3.9,-1.1,0.2,-0.4,0.1,-14.1,-1.9,2.0
Stephen Curry,GSW,PG,-0.8,-0.5,-1.9,0.9,-0.1,0.4,1.0,-0.2,-1.1
DeMar DeRozan,SAC,SF,-0.8,-1.9,-1.8,-0.9,-0.4,-0.3,0.4,-0.3,-0.5
Duncan Robinson,MIA,SF,-0.8,-3.9,-1.9,-0.4,-0.2,-0.2,-0.2,-1.3,-0.2
Kevin Huerter,2TM,SG,-0.8,-0.1,-0.3,-0.3,-0.5,0.3,-5.2,-1.8,-2.3
Alex Caruso,OKC,SG,-0.9,-9.4,-3.0,-1.0,-0.9,-0.1,6.4,-2.2,-5.5
Scottie Barnes,TOR,PF,-0.9,-2.1,-0.6,-0.3,-0.5,0.1,-2.6,-2.9,-7.0
Pascal Siakam,IND,PF,-0.9,-0.5,-1.5,-0.9,-0.2,0.1,0.2,-1.7,4.3
Kristaps Porziņģis,BOS,C,-0.9,-0.8,-0.6,0.1,-0.4,0.0,-4.9,-3.3,3.7
Mikal Bridges,NYK,SF,-0.9,2.2,-2.0,0.1,-1.3,-0.1,0.0,6.4,-1.8
Jayson Tatum,BOS,PF,-0.9,0.7,-0.1,1.1,0.6,0.1,-1.9,-1.9,-3.3
Deandre Ayton,POR,C,-0.9,-2.2,-2.3,0.0,-0.9,-0.2,-15.6,-0.4,8.8
Dalano Banton,POR,PG,-0.9,-2.7,-2.0,0.0,-1.3,0.0,-5.5,-1.3,2.8
Jake LaRavia,2TM,PF,-0.9,-2.6,-3.9,0.7,0.2,0.1,-14.8,8.6,8.3
Khris Middleton,2TM,SF,-1.0,-4.2,-3.2,-1.2,-1.0,0.0,2.4,-1.8,-2.0
Precious Achiuwa,NYK,C,-1.0,-1.4,-1.0,-0.3,-1.0,0.2,-2.2,0.1,1.0
Isaac Okoro,CLE,SG,-1.0,-8.2,-3.3,-0.7,-0.6,-0.2,3.8,-2.6,-2.0
Kelly Oubre Jr.,PHI,SF,-1.0,4.4,-0.3,0.3,1.1,0.4,0.1,2.9,-1.8
Luguentz Dort,OKC,SF,-1.0,0.8,-0.8,0.2,0.5,0.2,-10.9,-0.3,1.8
Jalen Brunson,NYK,PG,-1.1,0.0,-2.7,0.6,-0.7,0.0,-2.6,0.9,-1.8
Dean Wade,CLE,PF,-1.2,0.7,0.0,0.5,0.2,0.0,-23.6,-0.1,-3.1
Day'Ron Sharpe,BRK,C,-1.2,3.0,1.1,0.4,0.2,0.4,14.7,-5.0,-2.3
Jaime Jaquez Jr.,MIA,SF,-1.2,-7.5,-3.3,-0.1,0.6,-0.1,-5.7,-2.8,-1.1
Kris Dunn,LAC,PG,-1.2,5.2,1.0,-1.0,0.5,0.7,-0.6,-3.1,-3.4
Tyrese Haliburton,IND,PG,-1.2,1.4,-1.5,-1.7,-0.4,0.2,-0.4,-0.4,2.4
Julius Randle,MIN,PF,-1.2,-3.1,-5.3,-0.3,-2.1,0.2,2.5,1.3,3.3
Jrue Holiday,BOS,PG,-1.2,-2.2,-1.4,-0.9,-1.1,0.2,7.6,-3.7,-7.6
Bam Adebayo,MIA,C,-1.2,0.3,-1.2,0.4,-0.8,0.2,1.0,-3.6,0.0
Jimmy Butler,2TM,SF,-1.2,-2.3,-3.3,0.4,0.1,0.1,-1.6,0.5,-10.6
LeBron James,LAL,SF,-1.3,-0.4,-1.3,-0.1,0.5,-0.3,3.2,-2.7,-3.4
Nick Richards,2TM,C,-1.3,-4.3,-0.4,0.1,0.2,-0.2,0.7,-10.0,0.0
Trae Young,ATL,PG,-1.3,0.0,-1.5,0.8,0.3,-0.1,2.0,-1.9,-3.3
Chet Holmgren,OKC,C,-1.3,-2.0,-1.5,-0.4,0.1,0.1,-3.9,-4.0,0.9
Bobby Portis,MIL,PF,-1.3,0.9,0.1,0.8,1.0,-0.1,4.6,-4.2,-4.2
Andrew Nembhard,IND,SG,-1.3,3.9,0.8,0.9,1.2,0.3,-1.0,-4.0,-6.6
Naz Reid,MIN,C,-1.3,3.3,0.7,1.0,0.8,-0.1,4.0,-1.5,-3.5
Patrick Williams,CHI,PF,-1.4,-2.3,-1.0,0.5,-0.1,-0.1,-6.5,-4.6,-4.6
Kyrie Irving,DAL,SG,-1.4,1.1,-0.9,-0.6,-0.2,0.0,1.1,-2.4,-1.0
Clint Capela,ATL,C,-1.4,-4.4,-2.6,-0.1,-2.1,0.0,-9.5,-1.2,0.0
Desmond Bane,MEM,SG,-1.4,-2.4,-4.5,-0.2,1.7,0.2,2.4,2.0,1.1
Malik Monk,SAC,SG,-1.4,5.6,1.8,0.5,0.9,0.3,3.6,-0.4,-2.5
Jaylen Brown,BOS,SF,-1.4,0.8,-0.8,0.9,0.3,0.0,6.1,-3.6,-3.0
Kawhi Leonard,LAC,SF,-1.5,-2.4,-2.2,-0.5,-0.2,0.0,-7.5,-2.7,-0.6
Collin Sexton,UTA,SG,-1.5,1.3,-0.3,-0.7,0.1,-0.1,0.6,-0.7,1.2
Cason Wallace,OKC,SG,-1.6,7.0,1.6,1.0,1.1,0.9,2.7,-1.7,-6.3
Kentavious Caldwell-Pope,ORL,SG,-1.6,-2.0,-1.4,-0.6,-0.2,0.0,-3.1,-2.1,-6.4
Jonathan Kuminga,GSW,PF,-1.7,-2.0,-0.8,0.0,-0.2,0.1,-7.8,-7.5,-1.6
Anfernee Simons,POR,SG,-1.7,-1.7,-3.3,-0.7,-0.9,0.4,-1.4,-0.4,-2.2
Cam Whitmore,HOU,SF,-1.7,-2.5,-2.9,0.3,-0.8,0.0,7.1,-1.0,-0.4
Luke Kornet,BOS,C,-1.8,3.0,0.7,0.5,1.2,0.1,-21.6,-3.2,-100.0
Josh Green,CHO,SG,-1.8,1.4,-0.8,-0.7,-0.7,0.3,-0.3,-5.1,0.6
Tobias Harris,DET,PF,-1.8,-2.2,-3.5,-0.9,-0.6,0.0,-1.7,-1.0,-0.8
Donte DiVincenzo,MIN,SG,-1.8,-3.2,-3.8,0.9,0.0,-0.1,2.4,-2.1,-0.4
Draymond Green,GSW,PF,-1.8,2.1,0.4,-0.4,-1.1,0.5,-4.3,-7.3,-7.0
Jamal Murray,DEN,PG,-1.8,4.6,0.2,-0.5,-0.2,0.4,3.3,-0.7,-3.2
Nic Claxton,BRK,C,-1.9,-2.9,-1.5,0.1,-2.5,0.3,-3.8,-6.6,3.8
Trey Lyles,SAC,PF,-2.0,-0.4,-0.7,0.0,0.2,0.3,0.0,-2.5,-4.4
Devin Booker,PHO,SG,-2.0,1.3,-1.5,0.2,-0.4,0.0,0.8,-3.1,-3.2
De'Aaron Fox,2TM,PG,-2.0,0.2,-3.1,0.7,0.2,-0.5,8.9,-0.2,-5.9
Alperen Şengün,HOU,C,-2.0,-1.0,-2.0,-0.1,1.0,-0.1,-0.1,-4.1,-6.4
Kelly Olynyk,2TM,C,-2.0,-2.3,-1.1,-1.5,-0.6,-0.1,-6.4,-5.5,3.1
Tim Hardaway Jr.,DET,SG,-2.0,1.2,-3.4,-0.2,-0.8,0.0,0.3,0.4,1.5
Bruce Brown,2TM,PG,-2.1,-5.4,-2.5,-0.9,-0.2,-0.1,-0.9,-5.7,1.0
Keegan Murray,SAC,PF,-2.2,0.7,-2.8,-0.3,1.2,-0.2,0.2,-1.0,-1.5
Devin Vassell,SAS,SG,-2.2,-2.1,-3.2,-1.2,0.2,0.2,-0.9,-2.9,-0.4
Caleb Martin,2TM,SF,-2.2,-0.3,-2.1,-0.1,-0.5,0.3,-15.6,-0.7,1.0
T.J. McConnell,IND,PG,-2.3,-0.3,-1.1,-1.1,-0.3,0.1,-5.0,-3.7,-10.3
Trendon Watford,BRK,PF,-2.3,7.2,3.3,1.3,0.5,0.2,-3.2,-5.8,-6.7
Rui Hachimura,LAL,PF,-2.3,4.8,-0.5,0.2,0.7,0.2,3.1,-2.8,-0.9
Al Horford,BOS,C,-2.5,0.9,0.4,-0.5,-0.2,0.0,2.8,-8.8,-5.6
Klay Thompson,DAL,SF,-2.5,-2.4,-3.9,-0.3,0.1,0.1,-2.2,-2.0,0.4
Miles McBride,NYK,SG,-2.6,5.4,1.2,1.2,1.0,0.3,-4.7,-4.6,-4.1
Kevon Looney,GSW,C,-2.6,-1.1,0.0,-0.2,0.4,0.2,-10.9,-8.3,40.0
Sam Merrill,CLE,SG,-2.6,2.2,-0.8,-0.3,0.2,0.4,3.7,0.4,-3.2
Bogdan Bogdanović,2TM,SG,-2.7,-5.4,-6.1,-0.4,-0.5,-0.4,-4.2,-0.1,-1.1
Corey Kispert,WAS,SF,-2.7,0.5,-1.8,-0.3,0.2,-0.1,12.6,-3.5,-1.9
Mike Conley,MIN,PG,-2.8,-4.2,-3.2,-1.4,-0.3,-0.1,-1.1,-5.7,-3.2
Myles Turner,IND,C,-2.8,3.2,-1.5,0.2,-0.4,0.3,0.0,-4.3,3.8
D'Angelo Russell,2TM,PG,-3.1,-7.2,-5.4,-1.2,-0.3,0.1,0.6,-6.6,-10.1
Luka Dončić,2TM,PG,-3.2,-2.1,-5.7,-2.1,-1.0,0.4,-0.4,-3.7,-1.4
Simone Fontecchio,DET,SF,-3.2,-8.4,-4.6,-0.6,-0.8,-0.3,1.5,-5.8,-6.6
Fred VanVleet,HOU,PG,-3.3,-1.6,-3.3,-2.5,-0.1,0.2,-5.0,-3.8,-4.2
Dejounte Murray,NOP,PG,-3.5,-3.1,-5.0,1.0,1.2,0.6,2.9,-6.6,-6.4
Jalen Smith,CHI,C,-3.5,-2.2,-1.7,0.0,0.1,0.0,11.7,-12.6,-10.0
Lauri Markkanen,UTA,PF,-3.7,-1.7,-4.2,-0.5,-2.3,-0.2,-2.3,-5.7,-5.3
Trayce Jackson-Davis,GSW,C,-3.9,-1.0,-1.3,0.5,0.0,0.0,1.7,-12.6,0.0
Wendell Carter Jr.,ORL,C,-4.0,0.3,-1.9,0.3,0.3,0.2,4.3,-6.5,-14.0
Jonathan Isaac,ORL,PF,-4.6,-0.4,-1.4,0.1,-0.1,0.2,-3.8,-9.6,-11.7
Kyle Kuzma,2TM,PF,-4.8,-2.8,-7.4,-1.9,-0.9,0.1,-14.1,-2.7,-2.9
Jerami Grant,POR,PF,-5.0,-1.5,-6.6,-0.7,0.0,0.1,3.2,-7.8,-3.7
Paul George,PHI,PF,-5.5,-1.3,-6.4,0.8,0.1,0.3,-9.3,-4.1,-5.5
Terry Rozier,MIA,PG,-5.6,-7.5,-9.2,-3.0,-0.3,-0.4,-1.7,-5.2,-6.8
